Lat;Lon;Wind;Pressure;Storm Type;Category;DateTime
12.2;-50.5;35;1008;Potential Tropical Cyclone;-;2005-09-16 15:00:00
11.9;-51.6;35;1006;Tropical Depression;-;2005-09-16 18:00:00
12.3;-52.6;50;1002;Tropical Storm;-;2005-09-16 21:00:00
12.4;-53.0;50;1002;Tropical Storm;-;2005-09-17 00:00:00
12.5;-53.7;50;1002;Tropical Storm;-;2005-09-17 03:00:00
12.7;-54.4;50;1000;Tropical Storm;-;2005-09-17 06:00:00
13.0;-54.9;65;994;Tropical Storm;-;2005-09-17 09:00:00
13.3;-55.6;65;994;Tropical Storm;-;2005-09-17 12:00:00
13.5;-56.2;65;994;Tropical Storm;-;2005-09-17 15:00:00
13.6;-56.9;65;994;Tropical Storm;-;2005-09-17 18:00:00
13.8;-57.5;75;982;Hurricane;1;2005-09-17 21:00:00
14.0;-57.9;80;982;Hurricane;1;2005-09-18 00:00:00
14.2;-58.4;85;979;Hurricane;1;2005-09-18 03:00:00
14.4;-59.0;90;977;Hurricane;1;2005-09-18 06:00:00
14.6;-59.5;90;977;Hurricane;1;2005-09-18 09:00:00
14.6;-59.7;110;967;Hurricane;2;2005-09-18 12:00:00
14.7;-60.1;120;959;Hurricane;3;2005-09-18 15:00:00
14.9;-60.4;125;956;Hurricane;3;2005-09-18 18:00:00
15.1;-60.7;130;950;Hurricane;4;2005-09-18 21:00:00
15.2;-60.8;130;950;Hurricane;4;2005-09-18 22:00:00
15.3;-60.9;130;950;Hurricane;4;2005-09-18 23:00:00
15.3;-61.1;160;929;Hurricane;5;2005-09-18 23:45:00
15.3;-61.1;160;925;Hurricane;5;2005-09-19 00:00:00
15.3;-61.2;160;924;Hurricane;5;2005-09-19 01:00:00
15.3;-61.3;160;924;Hurricane;5;2005-09-19 01:35:00
15.5;-61.4;160;924;Hurricane;5;2005-09-19 03:00:00
15.7;-61.9;155;942;Hurricane;4;2005-09-19 06:00:00
16.0;-62.3;155;934;Hurricane;4;2005-09-19 09:00:00
16.0;-62.3;160;930;Hurricane;5;2005-09-19 09:10:00
16.2;-62.8;160;933;Hurricane;5;2005-09-19 12:00:00
16.3;-63.1;160;927;Hurricane;5;2005-09-19 15:00:00
16.6;-63.6;160;927;Hurricane;5;2005-09-19 18:00:00
16.6;-63.6;165;920;Hurricane;5;2005-09-19 18:15:00
16.7;-63.7;165;920;Hurricane;5;2005-09-19 19:00:00
16.7;-63.8;165;920;Hurricane;5;2005-09-19 20:00:00
16.8;-64.0;165;916;Hurricane;5;2005-09-19 21:00:00
16.8;-64.0;165;913;Hurricane;5;2005-09-19 22:00:00
16.9;-64.1;175;909;Hurricane;5;2005-09-19 23:00:00
17.0;-64.2;175;909;Hurricane;5;2005-09-20 00:00:00
17.1;-64.4;175;909;Hurricane;5;2005-09-20 01:00:00
17.2;-64.5;175;909;Hurricane;5;2005-09-20 02:00:00
17.3;-64.7;175;909;Hurricane;5;2005-09-20 03:00:00
17.4;-64.9;175;908;Hurricane;5;2005-09-20 04:00:00
17.5;-65.0;175;910;Hurricane;5;2005-09-20 05:00:00
17.6;-65.1;165;910;Hurricane;5;2005-09-20 06:00:00
17.7;-65.3;160;913;Hurricane;5;2005-09-20 07:00:00
17.8;-65.4;160;917;Hurricane;5;2005-09-20 08:00:00
17.9;-65.6;155;917;Hurricane;4;2005-09-20 09:00:00
18.0;-65.8;155;917;Hurricane;4;2005-09-20 10:00:00
18.0;-65.8;155;917;Hurricane;4;2005-09-20 10:35:00
18.0;-65.9;155;917;Hurricane;4;2005-09-20 11:00:00
18.2;-66.1;150;921;Hurricane;4;2005-09-20 12:00:00
18.3;-66.3;145;927;Hurricane;4;2005-09-20 13:00:00
18.4;-66.4;145;928;Hurricane;4;2005-09-20 14:00:00
18.4;-66.5;140;930;Hurricane;4;2005-09-20 15:00:00
18.5;-66.9;115;961;Hurricane;3;2005-09-20 18:00:00
18.8;-67.3;110;957;Hurricane;2;2005-09-20 21:00:00
18.9;-67.5;110;958;Hurricane;2;2005-09-21 00:00:00
19.2;-67.9;110;959;Hurricane;2;2005-09-21 03:00:00
19.4;-68.2;115;959;Hurricane;3;2005-09-21 06:00:00
19.6;-68.4;115;959;Hurricane;3;2005-09-21 09:00:00
19.9;-68.7;115;959;Hurricane;3;2005-09-21 12:00:00
20.2;-69.1;115;960;Hurricane;3;2005-09-21 15:00:00
20.4;-69.4;120;960;Hurricane;3;2005-09-21 18:00:00
20.8;-69.8;120;960;Hurricane;3;2005-09-21 21:00:00
20.9;-70.0;125;955;Hurricane;3;2005-09-22 00:00:00
21.0;-70.2;125;955;Hurricane;3;2005-09-22 03:00:00
21.2;-70.5;125;959;Hurricane;3;2005-09-22 06:00:00
21.6;-70.6;125;959;Hurricane;3;2005-09-22 09:00:00
21.9;-70.9;125;959;Hurricane;3;2005-09-22 12:00:00
22.3;-71.0;125;958;Hurricane;3;2005-09-22 15:00:00
22.8;-71.2;125;959;Hurricane;3;2005-09-22 18:00:00
23.3;-71.4;125;959;Hurricane;3;2005-09-22 21:00:00
23.8;-71.6;125;953;Hurricane;3;2005-09-23 00:00:00
24.1;-71.7;125;954;Hurricane;3;2005-09-23 03:00:00
24.4;-71.9;125;952;Hurricane;3;2005-09-23 06:00:00
24.8;-72.0;120;952;Hurricane;3;2005-09-23 09:00:00
25.4;-72.3;115;952;Hurricane;3;2005-09-23 15:00:00
26.3;-72.5;115;950;Hurricane;3;2005-09-23 21:00:00
27.0;-72.5;115;942;Hurricane;3;2005-09-24 03:00:00
27.9;-72.7;110;948;Hurricane;2;2005-09-24 09:00:00
28.7;-72.9;105;947;Hurricane;2;2005-09-24 15:00:00
29.4;-73.0;105;941;Hurricane;2;2005-09-24 21:00:00
29.7;-72.9;105;947;Hurricane;2;2005-09-25 00:00:00
30.0;-73.0;90;950;Hurricane;1;2005-09-25 03:00:00
30.2;-73.0;85;954;Hurricane;1;2005-09-25 06:00:00
30.6;-73.0;80;957;Hurricane;1;2005-09-25 09:00:00
30.8;-73.0;75;961;Hurricane;1;2005-09-25 12:00:00
31.2;-72.9;80;963;Hurricane;1;2005-09-25 15:00:00
31.4;-73.0;80;966;Hurricane;1;2005-09-25 18:00:00
31.7;-73.1;80;965;Hurricane;1;2005-09-25 21:00:00
32.0;-73.0;80;965;Hurricane;1;2005-09-26 00:00:00
32.3;-73.1;80;969;Hurricane;1;2005-09-26 03:00:00
32.6;-73.2;80;970;Hurricane;1;2005-09-26 06:00:00
32.9;-73.1;75;970;Hurricane;1;2005-09-26 09:00:00
33.3;-73.1;75;970;Hurricane;1;2005-09-26 12:00:00
33.6;-73.1;75;971;Hurricane;1;2005-09-26 15:00:00
33.8;-73.1;75;974;Hurricane;1;2005-09-26 18:00:00
34.1;-73.0;70;974;Tropical Storm;-;2005-09-26 21:00:00
34.6;-72.9;70;975;Tropical Storm;-;2005-09-27 00:00:00
34.9;-72.9;70;975;Tropical Storm;-;2005-09-27 03:00:00
34.8;-73.0;70;976;Tropical Storm;-;2005-09-27 06:00:00
35.1;-72.9;70;976;Tropical Storm;-;2005-09-27 09:00:00
35.4;-72.8;70;978;Tropical Storm;-;2005-09-27 12:00:00
35.6;-72.6;75;978;Hurricane;1;2005-09-27 15:00:00
35.9;-72.4;75;979;Hurricane;1;2005-09-27 18:00:00
36.2;-72.1;75;979;Hurricane;1;2005-09-27 21:00:00
36.5;-71.8;75;979;Hurricane;1;2005-09-28 00:00:00
36.8;-71.5;75;979;Hurricane;1;2005-09-28 03:00:00
36.8;-71.0;70;982;Tropical Storm;-;2005-09-28 09:00:00
36.8;-69.3;70;982;Tropical Storm;-;2005-09-28 15:00:00
36.8;-67.8;65;985;Tropical Storm;-;2005-09-28 21:00:00
37.1;-65.5;65;985;Tropical Storm;-;2005-09-29 03:00:00
37.2;-63.3;60;987;Tropical Storm;-;2005-09-29 09:00:00
37.5;-60.1;60;988;Tropical Storm;-;2005-09-29 15:00:00
37.8;-57.4;60;988;Tropical Storm;-;2005-09-29 21:00:00
38.6;-53.9;60;988;Tropical Storm;-;2005-09-30 03:00:00
39.6;-50.5;60;988;Tropical Storm;-;2005-09-30 09:00:00
40.7;-47.2;60;989;Tropical Storm;-;2005-09-30 15:00:00
42.0;-43.9;50;991;Post-Tropical Cyclone;-;2005-09-30 21:00:00
